name,project_id
Sportsgirl Pty Ltd (Sussan Retail Group - DR2757706,6xbqsdabet3r6
Charlottes Web,zzzrecnhz5m3o
FCA Italy SpA - MOPAR,zpdnibucpq3sy
Nahdi Medical - Upsell to MS DR3244344,outwog47ap2uc
Magid Glove and Safety,atn5wwwohsywi
Alshaya - AEO American Eagle,tw5uijob6hir2
Alshaya - Footlocker,z2fi6fmoo7n4a
Alshaya - BBW,bbk3lvknero4c
Alshaya - VS,kpwgmbven7d7y
CCH Incorporated (Wolters Kluwer) (Not an AMS customer),tfnivc3mcrmry
5.11 Tactical,iyv6udu6nomro
Alshaya - H&M,zbrr3sobrsb3o
Alshaya - Pottery Barn,rfuu4sicyisyw
Alshaya - Mothercare,z3gmkbwmwrl4g
Helly Hansen - Renewal w/AMS DR2953177 project ID 6x42bwop6jzim,6x42bwop6jzim
Alshaya - Alo Yoga AMS_ucy3iycfcg7qq,ucy3iycfcg7qq
Mimo Tech Company Limited (MMT)_DR2946623 – Adobe Commerce,funmyhyypx2zw
T-Mobile USA HINT – DR3163367 Adobe AMS,kdowxhfqh3mkk
Cenergy SSP (Instance 5/6)_DR2854988 – Adobe AMS,ggkyigxchdgoq
Cenergy TOPS (Instance 3/6)_DR2854988 – Adobe AMS,a4kqty5oswp5a
Cenergy CDS (Instance 1/6)_DR2854988 – Adobe AMS,vsdinyhnv5jiq
Hanesbrands - new Champion.com,weam7gfmht6aw
Sunbelt Rentals_DR2950760 & DR3112257 – Adobe AMS,lb4wg3savhnxk
Tata Motors ltd._DR2808283 – Adobe AMS,qn4ffcjwfg6jc
Canon USA Inc_DR2888760 – Adobe AMS,i3i4bjmu5mejy
Microsoft Corporation_DR2790470 – Adobe AMS,3yngm4t3tho6a
Helly Hansen AS_Musto_DR2953175 – Adobe AMS,tvbumoltnsun2
Enterprise -   Big Fish Games - Magento Managed Services P2P DR2630945,osceb2du4jjgg
[Cultura] MS + Magento - Renewal / Upsell DR3215530,bjmwi7qiyakj2
Accent / Future of Commerce/ Magento AMS  / Upsell / $480k / 3Y / $1.44m - DR2347918 Skechers,c27abj7wwbj5a
Accent / Future of Commerce/ Magento AMS  / Upsell / $480k / 3Y / $1.44m - DR2347918 Vans,fh26tdmbezwks
Accent / Future of Commerce/ Magento AMS  / Upsell / $480k / 3Y / $1.44m - DR2347918 Platypus,2gumyocxsi27q
Enterprise - Vita-Mix - AEM & Magento - DR2721725,m45v6tz6pgn3m
Zyia Active LLC,l6aqsphhbrrku
Enterprise -   DSB SA - Magento - Move to Managed Services Early Renew and upsell Q4 2020 -DR2705997,445ad56t34fn2
Enterprise-JF/OV - Reed Exhib / RX Global - MGTO-DR2621613,rh2algyxpu4qq
Alshaya - West Elm,xj72gv64n7kci
Union Comercial De Costa Rica Unicomer SA_DR3289305 – Adobe AMS,3z57agywixbje
Coca-Cola Beverages Africa (Pty) Ltd_DR3249103 – Adobe AMS,hssz2wgsrcpta
HIPAA - Laboratory Corporation Of America Holdings_DR3822482 – Adobe AMS,ed2mialiqhfni
"Merck Animal Health UK - Intervet, Inc._DR3353014 - Adobe AMS",wywmjdudmqe4c
Alshaya - New Balance - DR3205214 – AMS_yuoofriziz4tu,yuoofriziz4tu
Alshaya - Charlotte Tilbury - DR3205214 – Adobe AMS,42vsyln6crv6i
Canon USA (CCI) Inc renewal on DR2888760 – Adobe AMS,owcvhospps7wg
SM Online Corp._DR3383845 – Adobe Commerce + AMS,zhnzq6b3ppasw
Stemcell Technologies Inc._DR3239629 – Adobe AMS,hrhqxh2hqgsoy
PSA Automobiles S.A.  DR3384735 – Adobe Commerce -Topolino Direct Sales,47dsjuepmc4eo
Dyson Technology Limited_DR3019153 – Adobe AMS,dci3rpqzzkhes
Acer Inc (EMEA) DR3307401 – Adobe Commerce + AMS,3fls34gtwbbw4
Acer Inc (PA) DR3307401 – Adobe Commerce + AMS,byspcqxgnmnzm
The Coca-Cola Company_DR3486750 – Adobe AMS,xqng52md7niyo
Accent Group Limited_DR3551941 – Dr Martens,fpv2lfvzogav4
ENT LG Electronics #1 - Europe - GP1,vt2pniqibrqv6
Acer Inc (PAP AWS SG) DR3307401 – Adobe Commerce + AMS,q3bexgnsgjess
Mthai (Hindo/Gill Capital),fbe6yajbm5fim
Tata Passenger Electric Mobility Limited_DR3651558 – Adobe AMS,ag46ihsg2mncm
TechGRC - Adobe HIPAA monitoring,4aknqsui6ltaq
The Dun & Bradstreet Inc. - DR3864626 (SUB-0073119),o6xt57s4hzfj4
